person_id,person_name,person_gender
131,Charlie Day,Hombre
132,Charlie Kaufman,Hombre
133,Charlotte Regan,Mujer
134,Charlotte Wells,Mujer
135,Chloe Domont,Mujer
136,Chloe Okuno,Mujer
137,Chloé Zhao,Mujer
138,Chris Buck,Hombre
139,Chris BuckKevin Lima,
140,Chris Columbus,Hombre
141,Chris Koch,Hombre
142,Chris McKay,Hombre
143,Chris Peckover,Hombre
144,Chris Sanders,Hombre
145,Chris Wedge,Hombre
146,Chris Weitz,Hombre
147,Christian Ditter,Hombre
148,Christian Gudegast,Hombre
149,Christian Rivers,Hombre
150,Christian Tafdrup,Hombre
151,Christophe Gans,Hombre
152,Christopher Cain,Hombre
153,Christopher McQuarrie,Hombre
154,Christopher Nolan,Hombre
155,Christos Nikou,Hombre
156,Chuck Russell,Hombre
157,Claire Denis,Mujer
158,Clare Niederpruem,Mujer
159,Clay Kaytis,Hombre
160,Clea DuVall,Mujer
161,Clint Eastwood,Hombre
162,Clive Barker,Hombre
163,Colin Trevorrow,Hombre
164,Conrad Vernon,Hombre
165,Cord Jefferson,Hombre
166,Corin Hardy,Hombre
167,Craig Gillespie,Hombre
168,Craig Zobel,Hombre
169,Curtis Hanson,Hombre
170,D.J. Caruso,Hombre
171,Damien Chazelle,Hombre
172,Damien Leone,Hombre
173,Damián Szifron,Hombre
174,Dan Gilroy,Hombre
175,Dan Mazer,Hombre
176,Dan Trachtenberg,Hombre
177,Daniel Espinosa,Hombre
178,Daniel Kwan,Hombre
179,Daniel Myrick,Hombre
180,Danny Boyle,Hombre
181,Danny DeVito,Hombre
182,Danny Philippou,Hombre
183,Darius Marder,Hombre
184,Darren Aronofsky,Hombre
185,Daryl Wein,Hombre
186,David Anspaugh,Hombre
187,David Ayer,Hombre
188,David Bruckner,Hombre
189,David Cronenberg,Hombre
190,David Dobkin,Hombre
191,David E. Talbert,Hombre
192,David F. Sandberg,Hombre
193,David Fincher,Hombre
194,David Frankel,Hombre
195,David Gordon Green,Hombre
196,David L. Hunt,Hombre
197,David Lean,Hombre
198,David Leitch,Hombre
199,David Lynch,Hombre
200,David M. Rosenthal,Hombre
201,David Mackenzie,Hombre
202,David McNally,Hombre
203,David Michôd,Hombre
204,David Mickey Evans,Hombre
205,David O. Russell,Hombre
206,David Robert Mitchell,Hombre
207,David Slade,Hombre
208,David Twohy,Hombre
209,David Yarovesky,Hombre
210,David Yates,Hombre
211,Dean DeBlois,Hombre
212,Dean Devlin,Hombre
213,Dean Parisot,Hombre
214,Debra Granik,Mujer
215,Denis Villeneuve,Hombre
216,Dennis Dugan,Hombre
217,Derek Cianfrance,Hombre
218,Destin Daniel Cretton,Hombre
219,Dexter Fletcher,Hombre
220,Domee Shi,Mujer
221,Dominic Cooke,Hombre
222,Don Bluth,Hombre
223,Don Hall,Hombre
224,Donald Petrie,Hombre
225,Donovan Marsh,Hombre
226,Doug Liman,Hombre
227,Drew Goddard,Hombre
228,Duncan Jones,Hombre
229,Ed Harris,Hombre
230,Eddie Alcazar,Hombre
231,Edgar Wright,Hombre
232,Edward Zwick,Hombre
233,Edwin L. Marin,Hombre
234,Eli Roth,Hombre
235,Elizabeth Allen Rosenbaum,Mujer
236,Elizabeth Banks,Mujer
237,Ellen Kuras,Mujer
238,Emerald Fennell,Mujer
239,Emile Ardolino,Hombre
240,Emma Seligman,Mujer
241,Emma Tammi,Mujer
242,Enrico Casarosa,Hombre
243,Eric Appel,Hombre
244,Eric BressJ. Mackye Gruber,
245,Eric Darnell,Hombre
246,Ernst Lubitsch,Hombre
247,Eshom Nelms,
248,Ethan Coen,Hombre
249,Evan Goldberg,Hombre
250,F. Gary Gray,Hombre
251,Farhad Safinia,Hombre
252,Fede Alvarez,Hombre
253,Felix van Groeningen,Hombre
254,Fisher Stevens,Hombre
255,Florian Zeller,Hombre
256,Francis Ford Coppola,Hombre
257,Francis Lawrence,Hombre
258,Frank Capra,Hombre
259,Frank Coraci,Hombre
260,Frank Darabont,Hombre
261,Frank Marshall,Hombre
262,Frank Miller,Hombre
263,Franklin J. Schaffner,Hombre
264,Fred Wolf,Hombre
265,Gabe Polsky,Hombre
266,Gabor Csupo,Hombre
267,Gabriela Tagliavini,Mujer
268,Gabriele Muccino,Hombre
269,Gareth Edwards,Hombre
270,Garry Marshall,Hombre
271,Garth Davis,Hombre
272,Garth Jennings,Hombre
273,Gary Goddard,Hombre
274,Gary Ross,Hombre
275,Gary Trousdale,Hombre
276,Gary Winick,Hombre
277,Gaspar Noé,Hombre
278,Gavin Hood,Hombre
279,Gavin O'Connor,Hombre
280,Gene Stupnitsky,Hombre
281,Genndy Tartakovsky,Hombre
282,George C. Wolfe,Hombre
283,George Clooney,Hombre
284,George Gallo,Hombre
285,George Lucas,Hombre
286,George Miller,Hombre
287,George Nolfi,Hombre
288,George P. Cosmatos,Hombre
289,George Roy Hill,Hombre
290,George Seaton,Hombre
291,George Stevens,Hombre
292,George Tillman Jr.,Hombre
293,Gerard Johnstone,Hombre
294,Gil Junger,Hombre
295,Gil Kenan,Hombre
296,Gillian Armstrong,Mujer
297,Gillies MacKinnon,Hombre
298,Gina Prince-Bythewood,Mujer
299,Glen Morgan,Hombre
300,Glenn Ficarra,
301,Gore Verbinski,Hombre
302,Graham Moore,Hombre
303,Grant Harvey,
304,Grant Singer,Hombre
305,Greg Mottola,Hombre
306,Gregory Hoblit,Hombre
307,Gregory Widen,Hombre
308,Gregory Wilson,Hombre
309,Greta Gerwig,Mujer
310,Guillermo del Toro,Hombre
311,Gus Van Sant,Hombre
312,Guy Hamilton,Hombre
313,Guy Nattiv,Hombre
314,Guy Ritchie,Hombre
315,Halina Reijn,Mujer
316,Hans Petter Moland,Hombre
317,Harald Zwart,Hombre
318,Harmony Korine,Hombre
319,Harold Becker,Hombre
320,Harold Ramis,Hombre
321,Harry Bradbeer,Hombre
322,Hayao Miyazaki,Hombre
323,Henry Koster,Hombre
324,Henry Selick,Hombre
325,Herbert Ross,Hombre
326,Hernán Jiménez,Hombre
327,Howard Deutch,Hombre
328,Howard Zieff,Hombre
329,Hugh Wilson,Hombre
330,Iain Softley,Hombre
331,Ilya Naishuller,Hombre
332,Ira Sachs,Hombre
333,Irvin Kershner,Hombre
334,Ivan Reitman,Hombre
335,J.A. Bayona,Hombre
336,J.C. Chandor,Hombre
337,J.J. Abrams,Hombre
338,Jaco Van Dormael,Hombre
339,Jake Johnson,Hombre
340,Jake Kasdan,Hombre
341,Jalmari Helander,Hombre
342,James Bobin,Hombre
343,James Cameron,Hombre
344,James Clavell,Hombre
345,James DeMonaco,Hombre
346,James Foley,Hombre
347,James Gray,Hombre
348,James Gunn,Hombre
349,James Hawes,Hombre
350,James Ivory,Hombre
